company_name,security_name,company_url,trading_code,scrip_code,isin,last_trading_price,last_trading_yield,closing_price,last_update,days_range,change_prev,change_next,days_value,fiftytwo_weeks_moving_range,opening_price,days_volume,adjusted_opening_price,days_trade,yesterday_closing_price,market_capitalization,remaining_maturity,issuer,tenure,issue_date,cupon_rate,debut_trading_date_basic,cupon_frequency,maturity_date,security_catagory,electronic_share_basic,year_basis,authorized_capital,debut_trading_date,paid_up_capital,type_of_instrument,face_par_value,market_lot,total_outstanding_security,sector,address_head_office,address_factory,address_issuer,concern_department,contact_phone,fax,email,web,company_secretary_name,secretary_cell_no,secretary_telephone_no,secratary_email,listing_year,market_catagory,electronic_share,share_holding_percent_1,sponsor_or_director_1,govt_1,institute_1,foreign_1,public_1,share_holding_percent_2,sponsor_or_director_2,govt_2,institute_2,foreign_2,public_2,share_holding_percent_3,sponsor_or_director_3,govt_3,institute_3,foreign_3,public_3,remarks
ADN Telecom Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ADNTEL,ADNTEL,22651,N/A,104.20,N/A,104.20,3:10 PM,102.00 - 108.80,2.8,2.76%,51.39,49.80 - 159.00,103.00,"488,198.00",101.40,"1,255",101.40,"6,555.679",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,000.00","06 Jan, 2020",646.52,Equity,10.0,1,"64,651,666",IT Sector,"Red Crescent Concord Tower (19th Floor), 17 Mohakhali C/A, Dhaka-1212",N/A,N/A,N/A,"+8802 9841234, +8802 9841234 and 01777770324",+880 2 9887551,info@adnsl.net,http://www.adntel.com.bd,"Md. Monir Hossain, FCS",+88 01777 770 322,+8802 9841234 Ext: 113,monir@adnsl.net,2019,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",51.56,0.00,21.77,1.99,24.68,"Share Holding Percentage
                    [as on Sep 30, 2022]",51.56,0.00,20.28,1.99,26.17,"Share Holding Percentage
                    [as on Oct 31, 2022]",51.56,0.00,15.05,1.99,31.40,N/A
Advent Pharma Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ADVENT,ADVENT,18492,N/A,27.30,N/A,27.30,3:10 PM,26.40 - 29.50,-0.1,-0.36%,161.18,22.00 - 32.50,26.40,"5,691,711.00",27.40,"2,762",27.40,"2,551.837",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","12 Apr, 2018",931.33,Equity,10.0,1,"93,132,732",Pharmaceuticals & Chemicals,"Rupayan Karim Tower, Level # 10, 80-Kakrail, VIP Road, Ramna, Dhaka-1000.",N/A,N/A,N/A,+88-02-9185352,+88-02-9185351,adventpharmaltd.bd@gmail.com,http://www.adventpharmabd.com,Md Ikramul Islam,'01725909222,N/A,ikramulca@gmail.com,2018,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",31.44,0.00,18.86,0.00,49.70,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.02,0.00,20.39,0.00,49.59,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.02,0.00,19.06,0.00,50.92,N/A
AFC Agro Biotech Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=AFCAGRO,AFCAGRO,18489,N/A,23.50,N/A,23.50,3:10 PM,23.50 - 23.90,0,0.00%,29.07,21.40 - 34.30,23.50,"1,235,539.00",23.50,785,23.50,"2,707.581",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,000.00","11 Feb, 2014","1,152.16",Equity,10.0,1,"115,216,200",Pharmaceuticals & Chemicals,"House# 87-89, Road# 04, Block# B, Niketon, Gulshan-1, Dhaka","Uttar Shiolmary, Koiya Bazar, Batiaghata, Khulna.",N/A,N/A,"88-02-8836830, 02- 8836875, 02-9531023",880-2-9531190,"afc.cs2018@gmail.com, active.fine.chemicals@gmail.com",http://www.afcagrobiotech.com,Sabekun Nahar,"+88 01992 024 515, +88 01992 024 696",02-9531023,afc.cs2018@gmail.com,2014,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",30.29,0.00,39.75,0.00,29.96,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.29,0.00,37.15,0.00,32.56,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.29,0.00,38.11,0.00,31.60,N/A
Aftab Automobiles Limited,N/A,https://www.dsebd.org/displayCompany.php?name=AFTABAUTO,AFTABAUTO,13201,N/A,24.50,N/A,24.50,3:10 PM,24.50 - 24.70,0,0.00%,1.82,24.30 - 35.60,24.50,"74,269.00",24.50,129,24.50,"2,462.717",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,000.00",N/A,"1,005.19",Equity,10.0,1,"100,519,043",Engineering,"125/A Motijheel C/A, Dhaka - 1000","Fouzderhat Heavy Industrial Estate\r\nChittagong, Bangladesh",N/A,N/A,+8802 223381812,+8802 223383224,info@aftabautomobiles.com,http://aftabautomobiles.com,Md. Mostafizur Rahman,+88 01713 245 382,"(8802) 9552212, 9554748, Ext-111",cs@aftabautomobiles.com,1987,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",30.00,0.00,35.38,0.00,34.62,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.00,0.00,36.51,0.00,33.49,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.00,0.00,36.50,0.00,33.50,N/A
Agni Systems Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=AGNISYSL,AGNISYSL,22645,N/A,23.20,N/A,23.20,3:10 PM,23.10 - 23.80,0.2,0.87%,54.65,20.00 - 30.50,23.20,"2,331,831.00",23.00,"1,612",23.00,"1,668.792",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",N/A,725.56,Equity,10.0,1,"72,556,192",IT Sector,"11/A Navana Tower, 45, Gulshan Avenue, Dhaka 1212",N/A,N/A,N/A,"09606100700 Ext. 104,",58811902,cs@agni.com,http://www.agni.com,"Md. Enamul Haq, ACS",+88 01841 739 966,09606100700 Ext. 109,enamul.haq@agni.com,2003,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",9.33,0.00,44.97,0.00,45.70,"Share Holding Percentage
                    [as on Sep 30, 2022]",32.76,0.00,10.34,0.00,56.90,"Share Holding Percentage
                    [as on Oct 31, 2022]",32.76,0.00,11.11,0.00,56.13,N/A
Agrani Insurance Co. Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=AGRANINS,AGRANINS,25722,N/A,38.50,N/A,38.50,3:10 PM,38.50 - 38.50,0,0.00%,0.10,37.40 - 62.50,38.50,"2,627.00",38.50,7,38.50,"1,222.641",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,N/A,317.57,Equity,10.0,1,"31,756,920",Insurance,"City Centre (17th floor), 90/1, Motijheel C/A, Dhaka-1000",N/A,N/A,N/A,55111007-11,88-02-55111012,info.agraniinsurance.com,http://www.agraniinsurance.com,Md. Mofizur Rahman,+88 01723 407 370,8391571-4 Ex-114,mofizuraicl@gmail.com,2005,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",30.15,0.00,14.12,0.00,55.73,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.15,0.00,15.63,0.00,54.22,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.15,0.00,15.87,0.00,53.98,N/A
AIBL 1st Islamic Mutual Fund,N/A,https://www.dsebd.org/displayCompany.php?name=AIBL1STIMF,AIBL1STIMF,12183,N/A,N/A,N/A,7.30,3:10 PM,N/A,N/A,-100.00%,N/A,7.20 - 9.30,N/A,N/A,7.30,N/A,7.30,730.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",Corporate Bond,10.0,1,"100,000,000",Mutual Funds,"I-K Tower (4th Floor), Plot # 2, Block # CEN (A), Gulshan North Avenue, Gulshan 2, Dhaka - 1212, Bangladesh",N/A,N/A,N/A,"+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",+88 02 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,N/A,N/A,N/A,N/A,2011,A,Y,"Share Holding Percentage
                    [as on Mar 31, 2022 (year ended)]",10.00,0.00,52.60,0.00,37.40,"Share Holding Percentage
                    [as on Sep 30, 2022]",10.00,0.00,53.27,0.00,36.73,"Share Holding Percentage
                    [as on Oct 31, 2022]",10.00,0.00,53.22,0.00,36.78,Available Data have been provided as per latest Audited Reports.
AIBL Mudaraba Perpetual Bond,N/A,https://www.dsebd.org/displayCompany.php?name=AIBLPBOND,AIBLPBOND,26005,N/A,N/A,N/A,"4,900.00",3:10 PM,N/A,N/A,-100.00%,N/A,"4,412.00 - 5,100.00",N/A,N/A,"4,900.00",N/A,"4,900.00",490.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"05 Dec, 2021",500.00,Corporate Bond,5000.0,1,"100,000",Corporate Bond,"Al-Arafah Islami Bankrn63, Purana Paltan, Dhaka - 1000",N/A,N/A,N/A,N/A,N/A,N/A,http://www.al-arafahbank.com,N/A,N/A,N/A,N/A,2021,N,Y,"Share Holding Percentage
                    [as on Dec 31, 2020 (year ended)]",0.00,0.00,0.00,0.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alif Industries Limited,N/A,https://www.dsebd.org/displayCompany.php?name=AIL,AIL,17436,N/A,53.40,N/A,53.40,3:10 PM,53.40 - 53.40,0,0.00%,0.28,37.50 - 57.80,53.40,"5,327.00",53.40,5,53.40,"2,363.039",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"4,000.00","28 Dec, 2017",442.52,Equity,10.0,1,"44,251,669",Textile,"Bilquis Tower (9th floor), House -06, Road-46, Gulshan-2, Dhaka - 1212",N/A,N/A,N/A,"58815226, 58815227",58815228,alifindustries95@gmail.com,http://www.alifgroup-bd.com/,Mahfuzur Rahman,01552416749,"58815226, 58815227",alifindustries95@gmail.com,2017,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",33.35,0.00,15.09,0.00,51.56,"Share Holding Percentage
                    [as on Sep 30, 2022]",33.35,0.00,13.72,0.00,52.93,"Share Holding Percentage
                    [as on Oct 31, 2022]",33.35,0.00,15.25,0.00,51.40,"1. TK 261,808,538 Revaluation Reserve has been added to Reserve & Surplus."
Al-Haj Textile Mills Limited,N/A,https://www.dsebd.org/displayCompany.php?name=AL-HAJTEX,AL-HAJTEX,17401,N/A,132.10,N/A,132.10,3:10 PM,132.10 - 132.10,0,0.00%,0.12,67.80 - 149.20,132.10,910.00,132.10,4,132.10,"2,945.638",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,N/A,222.99,Equity,10.0,1,"22,298,549",Textile,"66, Dilkusha C/A (4th floor) Chand Mansion, Dhaka",N/A,N/A,N/A,02-223384638,88 - 02 - 223383951,info@alhajtextilemills.com,http://www.alhajtextilemills.com,Md. Selim Parvez FCS,01673-406433,02-223384638,secretary@alhajtextilemills.com,1983,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",12.78,0.03,13.46,0.00,73.73,"Share Holding Percentage
                    [as on Sep 30, 2022]",25.63,0.01,20.39,0.00,53.97,"Share Holding Percentage
                    [as on Oct 31, 2022]",25.63,0.01,20.68,0.00,53.68,"TK 9,908,433 Revaluation Reserve has been added to Reserve & Surplus."
Al-Arafah Islami Bank Ltd,N/A,https://www.dsebd.org/displayCompany.php?name=ALARABANK,ALARABANK,11115,N/A,23.90,N/A,23.70,3:10 PM,23.70 - 23.90,0.3,1.27%,0.57,23.20 - 27.80,23.70,"24,059.00",23.60,9,23.60,"25,131.692",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"15,000.00",N/A,"10,649.00",Equity,10.0,1,"1,064,902,185",Bank,"Al-Arafah Tower, 63, Purana Paltan, Dhaka-1000.",N/A,N/A,N/A,"02-44850050 (direct),  02-44850005-20, ext--(212-215)",02-44850065,"board.aibl@al-arafahbank.com,  share@aibl.com.bd",http://www.al-arafahbank.com,Mohammed Nizam Uddin Bhuiyan,+88 01817 571 497,"02-44850027 (direct), 02-44850005  Ext. 111",nizam487@aibl.com.bd,1998,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",41.87,0.00,29.35,0.52,28.26,"Share Holding Percentage
                    [as on Sep 30, 2022]",42.37,0.00,30.28,0.49,26.86,"Share Holding Percentage
                    [as on Oct 31, 2022]",42.37,0.00,30.35,0.48,26.80,"TK 1,084,331,861 Revaluation Reserve has been added to Reserve & Surplus."
Alif Manufacturing Company Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=ALIF,ALIF,17444,N/A,13.30,N/A,13.30,3:10 PM,13.30 - 13.30,0,0.00%,N/A,12.50 - 16.50,13.30,1.00,13.30,1,13.30,"3,457.029",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"5,000.00",N/A,"2,599.27",Equity,10.0,1,"259,927,022",Textile,"Bilquis Tower(9th floor), House # 6,Road # 46, Gulshan Circle - 2,Dhaka - 1212.",N/A,N/A,N/A,"58815226, 58815227",58815228,alifmanufacturing@gmail.com,http://amcl.com.bd,Mahfuzur Rahman,'01552416749,"58815226, 58815227",mahfuz.lkgroup@gmail.com,1997,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",30.46,0.00,14.22,0.00,55.32,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.46,0.00,4.68,0.00,64.86,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.46,0.00,4.12,0.00,65.42,N/A
Alltex Industries Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=ALLTEX,ALLTEX,17440,N/A,N/A,N/A,24.60,3:10 PM,N/A,N/A,-100.00%,N/A,14.20 - 29.70,N/A,N/A,24.60,N/A,24.60,"1,376.813",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",N/A,559.68,Equity,10.0,1,"55,968,000",Textile,"Correspondence office: Suite No. 5B, House No. 1, Road No. 27, Block-K, Banani, Dhaka, Bangladesh.","Alltex Industrial Park, Ariabo, Barpa, Rupgonj, Narayangonj, Bangladesh",N/A,N/A,"(02) 48810664, '01711141161",(02) 48810665,info.alltex@yahoo.com,http://www.alltexbd.com,Md. Ziaul Huque,+88 01730 031 245,(02) 48810664,csalltex@yahoo.com,1996,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",40.74,0.00,11.64,0.00,47.62,"Share Holding Percentage
                    [as on Sep 30, 2022]",40.74,0.00,6.52,0.00,52.75,"Share Holding Percentage
                    [as on Oct 31, 2022]",40.74,0.00,6.51,0.00,52.75,"1. TK 972,210,658 Revaluation Reserve has been added to Reserve & Surplus."
